WHO_REGION,ISO_3_CODE,country,epiweek,new_hospitalization,new_icu,iso_year,iso_week_number,REPORTING_TYPE
AMRO,USA,UNITED STATES OF AMERICA,2019-12-30,528,,2019,52,WEEKLY_V2
AMRO,USA,UNITED STATES OF AMERICA,2020-01-06,132,,2020,1,WEEKLY_V2
AMRO,USA,UNITED STATES OF AMERICA,2020-03-16,1,,2020,11,WEEKLY_V2
AMRO,USA,UNITED STATES OF AMERICA,2020-03-23,16,,2020,12,WEEKLY_V2
AMRO,USA,UNITED STATES OF AMERICA,2020-03-30,12,,2020,13,WEEKLY_V2
AMRO,USA,UNITED STATES OF AMERICA,2020-04-06,529,,2020,14,WEEKLY_V2
AMRO,USA,UNITED STATES OF AMERICA,2020-04-13,469,,2020,15,WEEKLY_V2
AMRO,USA,UNITED STATES OF AMERICA,2020-04-20,338,,2020,16,WEEKLY_V2
AMRO,USA,UNITED STATES OF AMERICA,2020-04-27,557,,2020,17,WEEKLY_V2
AMRO,USA,UNITED STATES OF AMERICA,2020-05-04,451,,2020,18,WEEKLY_V2
AMRO,USA,UNITED STATES OF AMERICA,2020-05-11,459,,2020,19,WEEKLY_V2
AMRO,USA,UNITED STATES OF AMERICA,2020-05-18,399,,2020,20,WEEKLY_V2
AMRO,USA,UNITED STATES OF AMERICA,2020-05-25,303,,2020,21,WEEKLY_V2
AMRO,USA,UNITED STATES OF AMERICA,2020-06-01,200,,2020,22,WEEKLY_V2
AMRO,USA,UNITED STATES OF AMERICA,2020-06-08,288,,2020,23,WEEKLY_V2
AMRO,USA,UNITED STATES OF AMERICA,2020-06-15,251,,2020,24,WEEKLY_V2
AMRO,USA,UNITED STATES OF AMERICA,2020-06-22,511,,2020,25,WEEKLY_V2
AMRO,USA,UNITED STATES OF AMERICA,2020-06-29,846,,2020,26,WEEKLY_V2
AMRO,USA,UNITED STATES OF AMERICA,2020-07-06,999,,2020,27,WEEKLY_V2
AMRO,USA,UNITED STATES OF AMERICA,2020-07-13,22000,,2020,28,WEEKLY_V2
AMRO,USA,UNITED STATES OF AMERICA,2020-07-20,33644,,2020,29,WEEKLY_V2
AMRO,USA,UNITED STATES OF AMERICA,2020-07-27,38484,,2020,30,WEEKLY_V2
AMRO,USA,UNITED STATES OF AMERICA,2020-08-03,32884,,2020,31,WEEKLY_V2
AMRO,USA,UNITED STATES OF AMERICA,2020-08-10,31510,,2020,32,WEEKLY_V2
AMRO,USA,UNITED STATES OF AMERICA,2020-08-17,30245,,2020,33,WEEKLY_V2
AMRO,USA,UNITED STATES OF AMERICA,2020-08-24,29747,,2020,34,WEEKLY_V2
AMRO,USA,UNITED STATES OF AMERICA,2020-08-31,26933,,2020,35,WEEKLY_V2
AMRO,USA,UNITED STATES OF AMERICA,2020-09-07,28234,,2020,36,WEEKLY_V2
AMRO,USA,UNITED STATES OF AMERICA,2020-09-14,23851,,2020,37,WEEKLY_V2
AMRO,USA,UNITED STATES OF AMERICA,2020-09-21,24693,,2020,38,WEEKLY_V2
AMRO,USA,UNITED STATES OF AMERICA,2020-09-28,27417,,2020,39,WEEKLY_V2
AMRO,USA,UNITED STATES OF AMERICA,2020-10-05,33428,,2020,40,WEEKLY_V2
AMRO,USA,UNITED STATES OF AMERICA,2020-10-12,36880,,2020,41,WEEKLY_V2
AMRO,USA,UNITED STATES OF AMERICA,2020-10-19,40806,,2020,42,WEEKLY_V2
AMRO,USA,UNITED STATES OF AMERICA,2020-10-26,46012,,2020,43,WEEKLY_V2
AMRO,USA,UNITED STATES OF AMERICA,2020-11-02,56324,,2020,44,WEEKLY_V2
AMRO,USA,UNITED STATES OF AMERICA,2020-11-09,70636,,2020,45,WEEKLY_V2
AMRO,USA,UNITED STATES OF AMERICA,2020-11-16,81587,,2020,46,WEEKLY_V2
AMRO,USA,UNITED STATES OF AMERICA,2020-11-23,86627,,2020,47,WEEKLY_V2
AMRO,USA,UNITED STATES OF AMERICA,2020-11-30,94234,,2020,48,WEEKLY_V2
AMRO,USA,UNITED STATES OF AMERICA,2020-12-07,101309,,2020,49,WEEKLY_V2
AMRO,USA,UNITED STATES OF AMERICA,2020-12-14,104628,,2020,50,WEEKLY_V2
AMRO,USA,UNITED STATES OF AMERICA,2020-12-21,106027,,2020,51,WEEKLY_V2
AMRO,USA,UNITED STATES OF AMERICA,2020-12-28,111856,,2020,52,WEEKLY_V2
AMRO,USA,UNITED STATES OF AMERICA,2021-01-04,116066,,2021,1,WEEKLY_V2
AMRO,USA,UNITED STATES OF AMERICA,2021-01-11,108598,,2021,2,WEEKLY_V2
AMRO,USA,UNITED STATES OF AMERICA,2021-01-18,94286,,2021,3,WEEKLY_V2
AMRO,USA,UNITED STATES OF AMERICA,2021-01-25,80394,,2021,4,WEEKLY_V2
AMRO,USA,UNITED STATES OF AMERICA,2021-02-01,69176,,2021,5,WEEKLY_V2
